ds,yhat,yhat_lower,yhat_upper
1960-01-01,-448134706031.45044,-896664049787.0718,71592398832.03438
1961-01-01,-399735229011.2046,-909026657162.2728,75447829913.56447
1962-01-01,-361362953339.6977,-873957460882.613,118641436762.92543
1963-01-01,-326548936959.34375,-827592564869.6759,159863729432.7384
1964-01-01,-295288558301.52155,-802243514210.1307,180386984627.5451
1965-01-01,-246889081241.77817,-749669812069.2119,217777096093.1789
1966-01-01,-208516805530.88257,-685020781381.6263,289935421331.3404
1967-01-01,-173702789134.35956,-664783112084.5477,268663832710.5848
1968-01-01,-142442410460.37256,-632454179547.7704,309069563219.16174
1969-01-01,-94042933401.4739,-573574554565.7943,349935738732.12836
1970-01-01,-55670657691.43054,-539080875413.39105,404578893001.93854
1971-01-01,-20856641239.98349,-480787768156.29834,494505791963.82404
1972-01-01,10403737488.92923,-479070703147.5569,477626021073.09076
1973-01-01,58803214596.395294,-444691845774.67847,556845959617.1554
1974-01-01,97175490354.8677,-358654087852.9409,566342099567.7754
1975-01-01,131989506816.9747,-327989764893.13965,618904141989.6992
1976-01-01,163249885556.5498,-309763022962.5191,653845462313.171
1977-01-01,211649362768.51254,-284056195631.05756,666892001461.455
1978-01-01,250021638631.19696,-245237686509.47638,733119117310.5514
1979-01-01,284840989441.2533,-225459400003.46558,787226290380.1343
1980-01-01,316106702528.7711,-145618266243.38562,783400486424.5135
1981-01-01,364511633186.26184,-78330840228.40118,850003790780.244
1982-01-01,402889347594.3483,-62675648395.83751,894698691950.7048
1983-01-01,437715708346.9056,-36085318195.13834,914050402932.2023
1984-01-01,468988431376.91406,-10478214580.067488,947622537905.0564
1985-01-01,517406791754.7748,60027394670.73862,997959520329.7034
1986-01-01,555797899189.9852,70464122091.98373,1018591352396.0049
1987-01-01,590630747327.2981,94153802989.53992,1056414886565.9961
1988-01-01,621916742837.6781,133685373918.20744,1092896007579.976
1989-01-01,670341906900.4495,172436032297.49963,1165084508215.9531
1990-01-01,708749999092.5891,209955882563.35724,1167541687788.7065
1991-01-01,743599831986.8064,247814125663.71643,1199023499956.4543
1992-01-01,774907871378.292,275685369365.9773,1239559092133.6575
1993-01-01,823355139716.3285,345257209698.4894,1299383413339.7742
1994-01-01,861786154992.5146,432092693555.8195,1377463497541.0225
1995-01-01,896658910970.7777,415482434681.1918,1364135623067.3425
1996-01-01,927985751041.1616,486057646207.0383,1363713337120.0186
1997-01-01,976451871566.8175,511314513788.82574,1454569438304.527
1998-01-01,1014893943264.5684,547923519757.5665,1509867802853.6519
1999-01-01,1049777755664.4104,587175361512.1146,1527081085483.9697
2000-01-01,1081114594563.7301,617251854662.0677,1564754550881.3796
2001-01-01,1129590741312.5078,652506760103.5077,1602317767919.169
2002-01-01,1168047198638.4487,654016095334.9326,1672126006503.9087
2003-01-01,1202945396666.4797,719736472117.7412,1685699592037.8782
2004-01-01,1234290124403.371,783022153876.738,1721982698755.8325
2005-01-01,1282774181602.7798,827249149133.5867,1745679470804.3533
2006-01-01,1321231030592.5564,815334069505.0481,1769216561990.7708
2007-01-01,1356129620284.4158,870323388987.7349,1826072958300.9263
2008-01-01,1387474572249.4895,925373618725.1758,1851496108709.5496
2009-01-01,1435958854291.524,977773455473.1647,1908617953910.158
2010-01-01,1474415703276.559,1018057874841.1451,1951949417758.4536
2011-01-01,1509314292963.6726,1031014818670.4672,1989540733477.3916
2012-01-01,1540659244958.0278,1067334374730.4272,2027021625639.9294
2013-01-01,1589143527029.4265,1103157130278.076,2062107051115.969
2014-01-01,1627600376044.209,1129799407591.15,2139873922162.5227
2015-01-01,1662498965761.1257,1206942541438.133,2136536185887.7175
2016-01-01,1693843917755.473,1189655318883.3635,2171346902008.3923
2017-01-01,1742328199826.84,1282984875491.2988,2241222791284.484
2018-01-01,1780785048841.6567,1286198979429.4773,2258689583210.948
2019-01-01,1815683638558.528,1303159334083.385,2330091918137.2026
2020-01-01,1847028590552.8967,1360306983316.0942,2317187269058.379
2021-01-01,1895512872624.289,1432628341449.8047,2388233263507.005
2022-01-01,1933969721639.08,1461027255020.4255,2441907901772.4985
2023-01-01,1968868311355.956,1523375857316.276,2441452098012.097
2024-01-01,2000213263350.4075,1500460233095.266,2485207175944.8486
2024-12-31,2028015568314.3127,1581985270395.5251,2515398067759.8022
2025-12-31,2052292568170.809,1539014023777.5676,2481151912184.254
2026-12-31,2073067927414.5867,1577657170232.0134,2572525497568.3105
2027-12-31,2090371593726.8389,1602096951082.5583,2564202738589.9707
2028-12-31,2181200241111.7312,1708414585291.1187,2648816592813.8296
