ds,yhat,yhat_lower,yhat_upper
1960-01-01,-119509353850.91833,-498536491195.5523,259616454058.43054
1961-01-01,78833606260.64954,-280458903975.7688,432076048368.0406
1962-01-01,47044941199.379395,-318269326646.76044,416820324698.9841
1963-01-01,-3372174402.015259,-371442942733.9271,369619802008.802
1964-01-01,-72309411148.99255,-438732629949.57947,291928001981.7393
1965-01-01,126033549413.27185,-231089561840.06323,481885489068.34906
1966-01-01,94244884801.40967,-272473723961.63788,429960405741.4142
1967-01-01,43827769517.473145,-316785893476.0035,406607255400.19794
1968-01-01,-25109466912.11389,-365954156830.76074,341734234755.72797
1969-01-01,173233493716.99866,-214019146567.00317,561453004825.5466
1970-01-01,141444829171.73218,-214984616997.15228,532620734287.9351
1971-01-01,91027714804.50916,-262935033590.27374,467177111937.00134
1972-01-01,22090479291.678345,-316673630216.69336,379352942893.81525
1973-01-01,220433440962.30664,-141239066758.40823,598036311802.4824
1974-01-01,188644777455.7168,-193718829338.49915,510309952675.45245
1975-01-01,138227663942.3955,-208537440344.09937,523615235119.8855
1976-01-01,69290429283.49658,-307802084702.46234,427630234632.5354
1977-01-01,267638463226.5985,-97693571399.89777,648677243316.3165
1978-01-01,235854858133.81506,-128274236950.41951,613233715012.472
1979-01-01,185580602830.50183,-187599208844.79645,547734624836.9475
1980-01-01,116786226381.50476,-256984750952.65375,484353555110.4083
1981-01-01,315427440742.57336,-42268563463.51052,666227170012.2515
1982-01-01,283936215028.3508,-84398508187.67,642265560149.3396
1983-01-01,234025772598.61133,-114598053311.02826,587736594085.618
1984-01-01,165595209023.07068,-183372745689.47064,509620092635.3258
1985-01-01,364600432997.1553,23781580573.82142,710778850327.5079
1986-01-01,333472222334.0193,-55069074960.84157,709426155915.9092
1987-01-01,283715560906.1848,-72792676838.36995,633182015261.4496
1988-01-01,230757905202.948,-143989518911.34808,611968880798.3611
1989-01-01,445124226258.2322,76776368506.74393,818334573266.6038
1990-01-01,429381758003.114,88762444775.79507,804957696403.7615
1991-01-01,395010838982.9958,36149560749.612976,762422837783.37
1992-01-01,342177014918.1588,-10344177935.731005,722471219924.8231
1993-01-01,556667506876.113,193631964009.48553,906218254908.3218
1994-01-01,622275558753.606,258635191404.47165,990707626809.3363
1995-01-01,669255159866.0673,295482064884.9018,1043344370937.1914
1996-01-01,697820303597.383,342381268695.5463,1068944594702.685
1997-01-01,993932774222.0896,653096130377.2812,1352749372443.6968
1998-01-01,1059710804418.3274,686462833989.1066,1459297852623.899
1999-01-01,1106860383849.417,766089830266.4307,1478091069572.4797
2000-01-01,1135534439997.4678,795140281246.2258,1505716825861.1682
2001-01-01,1431756121430.3496,1063307323235.5709,1771738439258.442
2002-01-01,1577733268852.6104,1234092744703.1296,1968157841062.9382
2003-01-01,1705081965509.7856,1322720830029.714,2059113432955.3904
2004-01-01,1852364059417.7942,1456522604738.5273,2217091832781.15
2005-01-01,2267518732136.5786,1920615514035.566,2631309549218.4834
2006-01-01,3029969687183.343,2652425256044.5938,3399508436734.769
2007-01-01,3773792191464.705,3409694832669.976,4140115893249.6216
2008-01-01,4611363933778.139,4246739543570.9097,4990876089644.549
2009-01-01,5718699459420.23,5364993320894.543,6065706625801.677
2010-01-01,6593509307406.182,6245892489236.716,6946954397442.0625
2011-01-01,7449690704627.079,7072472261002.791,7789207093062.8125
2012-01-01,8287351981196.409,7893146246764.582,8674139852393.0625
2013-01-01,9394777286393.271,9018529743888.25,9763082427548.516
2014-01-01,10269587134873.117,9917355246372.44,10634692597055.256
2015-01-01,11125768532588.668,10779939581502.291,11524048333553.553
2016-01-01,11963429809157.951,11608150952164.92,12326200045833.24
2017-01-01,13070855114354.994,12694428599211.893,13471807341996.398
2018-01-01,13945664962834.99,13567709810867.123,14303016575324.826
2019-01-01,14801846360549.541,14440653213170.402,15146958397479.684
2020-01-01,15639507637119.248,15287403229646.49,15999971414290.059
2021-01-01,16746932942316.314,16405056988604.258,17128418708128.787
2022-01-01,17621742790795.977,17256004152062.951,17978591945193.08
2023-01-01,18477924188510.996,18114639882038.0,18854302928036.023
2024-01-01,19315585465081.43,18963506537019.914,19669137907603.773
2024-12-31,20134867303080.49,19778150574962.656,20515857539424.348
2025-12-31,20935942501543.28,20542970885882.523,21343767054633.5
2026-12-31,21719015685441.086,21342993141748.99,22123186772054.31
2027-12-31,22484322961627.7,22093879026936.145,22865586030455.164
2028-12-31,23810945131041.758,23339130210396.02,24263393608093.516
