ds,yhat,yhat_lower,yhat_upper
1960-01-01,-205976773943.78198,-509832105100.7668,95058205103.93086
1961-01-01,-200895720683.51828,-475207174682.37787,75895845086.10828
1962-01-01,-143955883593.8624,-427560143047.3421,122672153213.94922
1963-01-01,-87589014019.14589,-371804918443.0115,191273232239.57608
1964-01-01,-31812027858.961563,-297227207029.60626,239350667881.0325
1965-01-01,-26730974595.661133,-297185110657.1266,252304869290.59268
1966-01-01,30208862497.0372,-272334778800.6698,306538642116.9384
1967-01-01,86575732137.39255,-188768684227.75604,357290122832.5132
1968-01-01,142352718363.221,-135176697977.2293,430298690669.95026
1969-01-01,147433771741.74393,-123975291762.9027,425181258568.04346
1970-01-01,204373608949.35767,-60674770486.32067,503614037505.2115
1971-01-01,260751502249.15573,-2233486451.672875,538902666096.1699
1972-01-01,316539512134.4273,25337506161.40673,604298759392.0939
1973-01-01,321632188176.8419,39165445987.84243,607248990767.6116
1974-01-01,378583616292.4343,107583821234.85274,659978044941.1484
1975-01-01,434987456437.2676,155635679806.80475,706618350510.0265
1976-01-01,490801413167.57935,231461353112.8353,787941552931.786
1977-01-01,495935132961.4697,199368419699.2175,757999226269.8768
1978-01-01,552927492687.142,258501978561.26544,821851361507.8358
1979-01-01,609356251722.1814,318430461810.2752,877636936338.983
1980-01-01,665195127342.7023,394815367522.5583,930033977777.4481
1981-01-01,670346791750.2932,387557426369.942,935281518372.9863
1982-01-01,727357047060.6399,449398441257.3727,999654372710.8824
1983-01-01,783816633285.8702,507519610943.5848,1058276309447.4828
1984-01-01,839686336096.5945,570866355591.6915,1109845090448.4568
1985-01-01,859644025998.1781,567856753398.3751,1148853543655.4048
1986-01-01,931419853181.0072,634450413625.8048,1228018346966.8687
1987-01-01,1002622712895.8646,736746134438.8429,1275818358083.9224
1988-01-01,1073245321258.2699,795742847719.7198,1364154067830.2932
1989-01-01,1093212669611.0627,826693548662.4961,1353630296191.1738
1990-01-01,1165014177322.3096,904728363779.5166,1454805154812.9868
1991-01-01,1236242717565.6265,962707900410.4631,1519810472685.372
1992-01-01,1306891884813.9512,1048762547812.7478,1568554343854.3665
1993-01-01,1326885864816.8013,1043116523343.5747,1583023306019.9136
1994-01-01,1398709621882.7703,1121666555843.1516,1657386772879.8054
1995-01-01,1469960411480.83,1200948842297.219,1761756682790.859
1996-01-01,1540621343254.3503,1260929220370.1724,1805377113216.3367
1997-01-01,1560627120014.0037,1276316576085.0325,1832453524148.8872
1998-01-01,1632460663992.2231,1355990745981.2869,1901510585188.1055
1999-01-01,1703721240502.5718,1426584070641.973,1972162053858.9119
2000-01-01,1774391933653.7556,1492865894213.1526,2055357934959.6772
2001-01-01,1794407498534.4304,1521266756640.6997,2073793407956.5068
2002-01-01,1866241042608.1013,1586838198543.9438,2146718340589.4133
2003-01-01,1937501619213.8792,1659166623876.5667,2216114799986.793
2004-01-01,2008172312372.9348,1730606523704.018,2296136992303.3125
2005-01-01,2028187877261.8115,1768024216826.4731,2323887471630.011
2006-01-01,2100021421233.4,1838799912897.4062,2378530938869.3354
2007-01-01,2171281997737.1985,1900785010120.3176,2454766832869.849
2008-01-01,2241952690875.587,1959824930708.9722,2527879352743.6587
2009-01-01,2261968255743.477,1982216902533.4238,2544928912730.0596
2010-01-01,2333801799779.0967,2068585111000.3794,2598022702821.0684
2011-01-01,2405062376346.807,2144198878545.7488,2681130012924.9595
2012-01-01,2475733069454.7695,2186258948290.6465,2723206418430.797
2013-01-01,2495748634292.268,2202701851588.647,2752319523505.973
2014-01-01,2567582178282.684,2301682303240.3887,2852081412051.4307
2015-01-01,2638842754805.054,2367527967810.906,2911990800583.4634
2016-01-01,2709513447913.0723,2431335245109.818,2976435841212.4204
2017-01-01,2729529012750.477,2454434610860.8037,3024161671807.3325
2018-01-01,2801362556740.8887,2535323456513.909,3083458993547.4307
2019-01-01,2872623133263.4263,2597973368247.4478,3163938000345.2188
2020-01-01,2943293826371.3833,2640097017205.3257,3236752175081.0884
2021-01-01,2963309391208.8076,2684526204280.1953,3226844207384.2183
2022-01-01,3035142935199.297,2769196235448.522,3293934351883.321
2023-01-01,3106403511721.7695,2828021686280.599,3382915278675.5947
2024-01-01,3177074204829.5757,2899209666144.639,3446252588431.858
2024-12-31,3247139209419.1875,2960604845340.46,3523029955606.6094
2025-12-31,3316583854745.6245,3044480737617.704,3599288203625.581
2026-12-31,3385394625989.037,3117040713231.095,3685292532456.63
2027-12-31,3453559183835.747,3191219730614.2427,3734880235827.005
2028-12-31,3480919587877.497,3194895871956.7734,3741901204458.7764
