ds,yhat,yhat_lower,yhat_upper
1960-01-01,-216556299044.01532,-547581922807.099,108586447762.61163
1961-01-01,-230093621097.62302,-547220263848.393,101273662617.85617
1962-01-01,-139570698743.7141,-445958205858.2215,168506714994.97342
1963-01-01,-59637705916.871826,-374769651901.61676,254293273467.50116
1964-01-01,9673367912.969666,-284234150934.54517,336929784908.02606
1965-01-01,-3863954143.199188,-315213900613.3777,329564970178.23004
1966-01-01,86658968208.18561,-249185497811.4418,383080427866.46326
1967-01-01,166591961030.62418,-139293235445.2975,475048519466.19135
1968-01-01,235903034856.06525,-78767161655.71478,583117490453.7832
1969-01-01,222365712800.7447,-96364243497.21191,524840215389.629
1970-01-01,312888635152.96924,-3943812960.173007,628391574823.8885
1971-01-01,392821650754.61816,48715373707.490654,710575237096.7534
1972-01-01,462132747359.27344,126141147439.30226,777101583383.0292
1973-01-01,448597195899.8972,116651690297.00853,774595981773.0374
1974-01-01,539121884010.36176,239424846432.69275,854329651634.5067
1975-01-01,619064482942.3722,313769807073.67194,945012568139.1107
1976-01-01,688385162877.4044,385742316099.2212,996759606168.0939
1977-01-01,674869947300.6201,363677942029.47797,996199900473.9562
1978-01-01,765414915731.1531,453604851137.51013,1115377698736.3271
1979-01-01,845405723561.8193,537126244860.17487,1179081164814.6663
1980-01-01,914774612395.508,592079934739.4185,1241106619379.1602
1981-01-01,901305672565.1849,586929726807.9873,1207519302327.4963
1982-01-01,991896790305.6525,677509306344.333,1291414335931.7246
1983-01-01,1071955545281.4509,774224547329.8151,1379879410329.812
1984-01-01,1141392381260.2747,820498405312.609,1466675892719.2065
1985-01-01,1156471670071.2031,827376813411.9233,1472860982379.1206
1986-01-01,1275533015828.3013,952060688641.7189,1583322786951.4841
1987-01-01,1384004432057.8086,1077247043761.0671,1735786750397.4983
1988-01-01,1481870267461.9758,1166354971142.1428,1810271169776.1565
1989-01-01,1496965939206.4963,1175584195993.6025,1820885597797.5044
1990-01-01,1616043624103.5378,1282087426524.0796,1935821199521.8977
1991-01-01,1724531379473.0298,1393461677105.4387,2058179114741.4668
1992-01-01,1822397215844.8503,1480671065892.6042,2128675635216.0474
1993-01-01,1837492888559.759,1494383183617.5398,2145767382473.4116
1994-01-01,1956570573459.6064,1636203866754.5134,2264985310786.5015
1995-01-01,2065058328831.9485,1766482421749.1963,2382973412134.8545
1996-01-01,2162924165207.7908,1860573106708.779,2482150676386.4146
1997-01-01,2178019837926.834,1879525774148.964,2501031613838.2476
1998-01-01,2297099079371.4585,1950616022355.072,2603689071862.159
1999-01-01,2405588391288.7153,2085225754322.9124,2730750617638.8555
2000-01-01,2503455784204.741,2187764718740.6782,2828561801582.5464
2001-01-01,2518553017728.455,2197068833351.7478,2816148676516.0767
2002-01-01,2637639923944.261,2298738623927.767,2963589980948.4688
2003-01-01,2746136900632.6377,2411256644396.222,3032696428643.7725
2004-01-01,2844011958329.034,2530109284410.058,3165474669612.446
2005-01-01,2859116877632.798,2563478418890.5723,3190405423378.0166
2006-01-01,2978203783859.201,2670279980902.6274,3293016764611.2656
2007-01-01,3086700760558.4224,2775480422611.6045,3430530545544.9077
2008-01-01,3184575818263.939,2870144792731.821,3525946116173.0166
2009-01-01,3199680737576.4824,2863060429506.496,3524734824514.292
2010-01-01,3318767643808.084,2991053394414.684,3665070976856.4473
2011-01-01,3427264620512.187,3133210169122.338,3745182906443.1865
2012-01-01,3525139678212.431,3208561113760.3145,3837861010438.364
2013-01-01,3540244597519.989,3239450187066.4863,3856599994022.3096
2014-01-01,3659331503744.693,3357986198243.3765,3961516355103.3115
2015-01-01,3767828480441.6997,3438124586087.2046,4095834538897.5254
2016-01-01,3865703538142.042,3553786628879.833,4187489771215.1978
2017-01-01,3880808457449.291,3545100382181.7515,4203771658452.3467
2018-01-01,3999895363674.0693,3709590037789.963,4328947198744.664
2019-01-01,4108392340371.3906,3784084453347.6978,4436792356183.366
2020-01-01,4206267398071.6367,3879648210212.7007,4533632056090.5
2021-01-01,4221372317378.9966,3897193822183.617,4527216467806.495
2022-01-01,4340459223603.904,4034746691740.2334,4664219089412.644
2023-01-01,4448956200301.057,4158236741947.397,4777939785629.19
2024-01-01,4546831258001.154,4226178768317.2466,4854583315489.407
2024-12-31,4634071044392.33,4310874288523.168,4942815357088.409
2025-12-31,4710680861864.431,4393228499836.6084,5034974836095.302
2026-12-31,4776684653628.688,4457135345451.253,5116865324070.142
2027-12-31,4832124958436.526,4521082335313.926,5159207891422.037
2028-12-31,4974634904321.905,4660169550156.969,5284667345257.863
