ds,yhat,yhat_lower,yhat_upper
1960-01-01,-16391347474.897827,-116201368673.04582,74853401284.36397
1961-01-01,-8068987783.349976,-102193676882.92747,98555657118.91418
1962-01-01,17454280090.069336,-82759475151.24438,121501127561.03343
1963-01-01,26864247386.85608,-73522612829.87856,128975484004.32663
1964-01-01,20143359461.141113,-76501866425.18478,125628198251.62932
1965-01-01,28465719121.73877,-71714030357.32631,125099205280.56876
1966-01-01,53988986964.29236,-53427891969.65575,163889765986.86758
1967-01-01,63398954307.1615,-40720624399.60417,160158600021.5665
1968-01-01,56678066427.52698,-41916051244.042625,157080241010.0476
1969-01-01,65000722160.44592,-30296846903.5431,162982362732.20883
1970-01-01,90524285266.34729,-11980424131.280334,184669696089.39557
1971-01-01,99959775493.65466,-2113055233.4462566,197800747845.50403
1972-01-01,93264410498.46179,-7835164446.03611,188079219634.9015
1973-01-01,101620368708.21765,2862596872.537536,200113924029.66626
1974-01-01,127177143300.55261,18279562126.738155,222888292467.1244
1975-01-01,136654399867.62427,29500374001.174145,233299795117.27264
1976-01-01,130000801212.17126,39540928992.11772,235331933801.02576
1977-01-01,138414262790.67334,36177122529.66895,238302188400.33173
1978-01-01,164028383638.71313,67962514639.60074,267688284910.4817
1979-01-01,173576151519.77954,72984611689.94781,282963209384.9976
1980-01-01,166993064178.35242,64872329816.88308,271483370339.3555
1981-01-01,177257072045.66968,73676492111.11674,271094235831.68213
1982-01-01,204716683045.15955,101573965772.08496,305896598959.6021
1983-01-01,216101892142.74683,109378208342.19753,316540966727.04675
1984-01-01,211356246017.81488,112338344972.11102,310889382222.9591
1985-01-01,221662021571.15222,118805327337.35643,326665858241.3966
1986-01-01,249163286137.16205,147953954291.73706,348788731408.90875
1987-01-01,260551250208.1073,160853478846.84167,361986572603.6434
1988-01-01,255818029178.5749,158443336780.2835,357541503870.49036
1989-01-01,266133501347.3069,164578826679.87173,366081569535.7018
1990-01-01,293648103128.11694,188646240423.48148,394066898014.3666
1991-01-01,305049404413.82513,204522553019.99234,404381100008.3351
1992-01-01,300342732027.61084,199938993913.51584,399820808397.10254
1993-01-01,310684825575.64716,219003504030.95892,411649229964.7883
1994-01-01,348471967433.83795,250791708180.6698,444245751666.1931
1995-01-01,370145808796.91394,266648875242.10736,472612777924.1384
1996-01-01,375739835694.2625,277858337414.4266,474550803633.3064
1997-01-01,396410849619.887,293388832316.40216,494280465015.46716
1998-01-01,434274897060.3484,334757922497.8886,533417117793.8057
1999-01-01,456025644005.85114,352911067539.9211,559806839926.4739
2000-01-01,461646173267.7302,361633597470.74963,564859684963.168
2001-01-01,482343762167.51526,376911669241.40094,581504599076.9565
2002-01-01,542515715280.85925,442384760923.4611,643201995829.9452
2003-01-01,586574367899.2007,490831934945.1391,684179208271.5994
2004-01-01,700844918740.7382,594463951168.1017,802627484367.0388
2005-01-01,830490200511.7222,736914695313.2789,933980894299.6008
2006-01-01,977061511280.0826,878994525750.6661,1079356039957.0487
2007-01-01,1107519521553.5037,998239151098.9325,1213513463169.3555
2008-01-01,1238488220841.3345,1143920306688.0022,1332184353482.2344
2009-01-01,1384877399410.6208,1287377229429.8552,1479980015440.2402
2010-01-01,1548151808329.268,1448446840258.2905,1650965494668.625
2011-01-01,1695312916752.8157,1594551635215.2837,1795560187759.7466
2012-01-01,1826369831443.6768,1729426270302.904,1924013772001.0305
2013-01-01,1972847467102.2163,1865703249382.1084,2070601359998.156
2014-01-01,2136148537510.521,2041206773619.8125,2240019850728.5415
2015-01-01,2283336307423.8154,2177167129514.8582,2383727734422.9434
2016-01-01,2414393222114.5537,2305410781955.178,2511049184807.3403
2017-01-01,2560870857772.838,2464513827310.735,2666079434130.1963
2018-01-01,2724171928181.3184,2623750400804.9644,2819532204986.455
2019-01-01,2871359698094.7437,2777875327551.3794,2979407865611.258
2020-01-01,3002416612785.4404,2901931523881.4297,3103679889047.2866
2021-01-01,3148894248443.88,3048553546876.4463,3251961029223.9165
2022-01-01,3312195318852.302,3210554224426.5645,3411025361582.3237
2023-01-01,3459383088765.5,3363973733587.1416,3555052311957.843
2024-01-01,3590440003456.565,3493235367425.423,3685775604870.483
2024-12-31,3705376686058.617,3596435843135.247,3803448974231.7812
2025-12-31,3804231929024.2285,3703432504744.2773,3899831495102.0415
2026-12-31,3887072638180.5835,3781401644839.177,3995003242558.5444
2027-12-31,3953993729469.924,3848046008709.0454,4047762213161.7944
2028-12-31,4293400076729.4814,4183030868139.144,4406973375349.276
