ds,yhat,yhat_lower,yhat_upper
1960-01-01,-243654092176.73157,-529338690227.65216,18161365540.79064
1961-01-01,-238771324049.12534,-527951355351.61835,67390551274.91015
1962-01-01,-184336553089.57208,-470154594432.9032,97678488464.89714
1963-01-01,-130031450694.86328,-394323041540.0986,130708882508.79068
1964-01-01,-75871453549.33826,-356947392527.3722,201199386771.91266
1965-01-01,-70988685449.81497,-337480629163.8652,196384762968.26694
1966-01-01,-16553914518.254425,-283384037767.1784,251296501225.59497
1967-01-01,37751187867.35367,-235194390332.8787,320030191420.0121
1968-01-01,91911185003.78241,-192557364563.1362,354884249975.2211
1969-01-01,96793953086.8136,-186518637699.46545,383571546374.04114
1970-01-01,151228724001.93564,-148182286363.2885,420567501840.40234
1971-01-01,205533826403.34894,-78168056079.67038,478669947566.6874
1972-01-01,259693823555.58398,-16496875983.923954,559332828355.83
1973-01-01,264579342615.2077,-19076344579.44877,539591456734.0158
1974-01-01,319016856990.5935,55991061149.94224,591969486145.3533
1975-01-01,373324766449.8216,106109271236.54294,650467942767.2964
1976-01-01,427487570659.8777,167590545678.36734,718653581753.5402
1977-01-01,432374891204.423,164446603103.1711,720301975160.2766
1978-01-01,486814202142.6421,196810049079.42603,760203392546.0701
1979-01-01,541124737710.3557,262470763730.93152,815786490709.692
1980-01-01,595290168028.898,330307575874.1685,878812041141.1053
1981-01-01,600184339696.6157,318397165849.7992,893020969332.5778
1982-01-01,654630483039.0635,372752207193.9489,907564363918.2853
1983-01-01,708958259422.3497,426723516927.29956,969323911951.5596
1984-01-01,763140930556.4779,478459808984.1609,1030105625816.2788
1985-01-01,768046573357.4272,471939622631.07574,1042074164812.96
1986-01-01,822504156491.2737,547234186924.9604,1108731392142.2908
1987-01-01,876832071075.7015,603918979071.833,1156590763606.087
1988-01-01,931014884114.447,666313687500.6565,1197019691588.329
1989-01-01,935920530628.9697,658698588644.2167,1201995692702.7068
1990-01-01,990378117513.3218,734493395232.1483,1277856009117.6624
1991-01-01,1044706035848.2952,749563727503.2325,1316282764730.5208
1992-01-01,1098888848970.991,838019992933.7594,1381212505950.3564
1993-01-01,1103794495569.7576,824528116708.9191,1381214450419.3323
1994-01-01,1158252082469.033,896594828041.3444,1442377623327.12
1995-01-01,1212580000818.9507,943297256291.0175,1493031428830.52
1996-01-01,1266762813942.49,1007458789756.3743,1539420571939.5986
1997-01-01,1271668460542.1301,987693175438.9208,1563135019477.3762
1998-01-01,1326126047449.8267,1032217629501.0044,1606567142170.061
1999-01-01,1380453965808.1978,1107623739204.6592,1653788850411.1228
2000-01-01,1434636778908.2021,1150714894560.7246,1694830667758.5645
2001-01-01,1439542425484.0957,1174585852397.07,1715100993743.4207
2002-01-01,1494000012383.2168,1199753497090.9512,1791502546591.36
2003-01-01,1548327930732.9932,1249781112402.4805,1817972144336.573
2004-01-01,1602510743849.1672,1333833726369.676,1900316843244.8699
2005-01-01,1607416390441.5835,1348950009545.4888,1882552629886.159
2006-01-01,1661873977339.7637,1365936986491.039,1939887999447.341
2007-01-01,1716201895688.6982,1416260690630.8547,2011057008031.5046
2008-01-01,1770384601966.948,1490677756105.488,2045744523933.1926
2009-01-01,1775290141428.4805,1536682666732.296,2072612914095.4329
2010-01-01,1829744987054.5332,1547886670370.9453,2124371296175.1028
2011-01-01,1884070164131.2285,1592604472903.7065,2160012308836.0164
2012-01-01,1938250235946.3655,1681290090962.8196,2228560992735.0
2013-01-01,1943153133727.184,1652523950648.1785,2209653887797.837
2014-01-01,1997607979340.88,1739700702727.1155,2274541476523.0825
2015-01-01,2051933156405.084,1754082020501.889,2327167686388.038
2016-01-01,2106113228220.2808,1818451151873.3135,2392930726387.451
2017-01-01,2111016126001.0173,1831294846334.555,2380429596748.696
2018-01-01,2165470971614.7031,1889163678891.93,2438984885560.4126
2019-01-01,2219796148679.0625,1954102458570.0835,2497345931804.2075
2020-01-01,2273976220494.203,2005395905082.241,2540200669937.2637
2021-01-01,2278879118274.9536,1991254711173.136,2569453101061.574
2022-01-01,2333333963888.717,2051526312638.4248,2610234891736.4927
2023-01-01,2387659140953.024,2121974052402.7285,2668303209977.8555
2024-01-01,2441839212768.005,2172543006893.2708,2731093940882.9517
2024-12-31,2495859090328.5127,2206210988358.2603,2775205386343.5674
2025-12-31,2549704054264.7183,2266377273001.266,2835380064902.065
2026-12-31,2603359776113.368,2340193320914.5405,2892961308326.388
2027-12-31,2656812338883.8237,2351974873036.8516,2922912266136.372
2028-12-31,2663722082602.4336,2400365548530.985,2964934494229.9565
