ds,yhat,yhat_lower,yhat_upper
1960-01-01,-514795674673.82385,-1440349833502.3608,403168856762.7895
1961-01-01,-461070980739.5242,-1388044970773.0564,494227266154.9874
1962-01-01,-347278609910.0503,-1315682502179.6167,623129130387.2798
1963-01-01,-210212569810.98657,-1210120466052.982,742145713561.6073
1964-01-01,-49899890097.29932,-966751204326.4423,935226931845.5573
1965-01-01,3824803773.9492188,-957272986640.9397,974744290995.1671
1966-01-01,117617174540.56055,-820274006059.7123,1049655753264.9973
1967-01-01,254683214691.29663,-708027498097.0867,1258972816264.9026
1968-01-01,414995894456.6853,-502928716998.34534,1417331614949.1465
1969-01-01,468720588525.1406,-451144082906.8154,1458877677593.6816
1970-01-01,582512959488.4849,-514802041345.6825,1527889220324.7822
1971-01-01,719578999634.8806,-219594102323.74643,1636243008333.7117
1972-01-01,879891679395.905,-71047958077.26332,1830402214800.1372
1973-01-01,933616373468.1545,14941406376.423182,1877341482032.5247
1974-01-01,1047408744435.301,76369037666.34465,1953345456456.2375
1975-01-01,1184474784575.3232,277324473770.9483,2208589338416.3984
1976-01-01,1344787464329.9746,429334915535.1216,2280635366465.5483
1977-01-01,1398512158443.2654,468468242704.674,2391131211918.1426
1978-01-01,1512304529451.3489,524985796962.51135,2425429830938.9937
1979-01-01,1649370569636.529,699278721213.4713,2654371196500.3857
1980-01-01,1809683249436.3591,871319605946.1157,2779652255303.398
1981-01-01,1863407943434.7788,855974136439.873,2872771702958.975
1982-01-01,1977200314328.3105,1069664745861.7793,2966584163490.627
1983-01-01,2114266354600.337,1146452144534.5774,3136928278181.0474
1984-01-01,2274579034487.09,1392434831692.9656,3257057675335.195
1985-01-01,2328303728598.945,1396652565501.607,3296575994460.5356
1986-01-01,2442096099605.7393,1500288276672.2083,3431680894487.9043
1987-01-01,2579162139889.09,1652900593564.1143,3462270696014.831
1988-01-01,2739474819651.1353,1855037675284.3289,3748651584617.886
1989-01-01,2793199513626.6426,1852598711925.6533,3748317142132.3403
1990-01-01,2906991794947.532,1964511463710.873,3855131125339.466
1991-01-01,3044057745545.1387,2115819983533.8716,3944795338058.273
1992-01-01,3204311398566.0376,2262894535976.4214,4098709160114.7275
1993-01-01,3257976904083.5137,2319684223086.099,4220815671037.64
1994-01-01,3371657537761.669,2429587064685.9565,4334018905855.379
1995-01-01,3508611840716.5557,2490237479153.8696,4482770542582.294
1996-01-01,3668731558993.1655,2707677295132.349,4719960421508.329
1997-01-01,3722262762821.777,2762558634217.7744,4635803004417.332
1998-01-01,3835745762398.427,2863473670015.6353,4750846850845.132
1999-01-01,3972502431251.705,3083115255907.7144,4897236112723.176
2000-01-01,4091769554105.2744,3162444770769.6343,5078768310805.225
2001-01-01,4104336237591.0166,3135616328789.8037,5088201397085.75
2002-01-01,4177044258860.8594,3240461378645.391,5163121899658.431
2003-01-01,4273025949407.3486,3291821228281.4863,5183481577285.849
2004-01-01,4392187101627.8906,3436527589871.1426,5409095112634.896
2005-01-01,4404647524151.337,3418568421895.81,5328088636506.374
2006-01-01,4477244133810.373,3510336267112.837,5423563846178.009
2007-01-01,4573114412746.074,3599214175719.283,5493653759786.737
2008-01-01,4692213771886.561,3800321123116.9116,5665639570435.747
2009-01-01,4704612232033.092,3757373382785.762,5653762449944.432
2010-01-01,4777181415948.537,3790776744567.9316,5736540534642.281
2011-01-01,4873024269140.695,3929175164746.3223,5793063051617.61
2012-01-01,4992078138646.0,3969651086664.0757,5914243513602.644
2013-01-01,5004430984528.192,4069775367506.299,5958777602038.096
2014-01-01,5076964545142.338,4157301293773.624,6034749353708.39
2015-01-01,5172771775032.848,4261642381924.2026,6123570832292.52
2016-01-01,5291825644538.23,4315541018080.6855,6235179594463.573
2017-01-01,5304178490420.619,4404177938746.664,6233857685642.993
2018-01-01,5376712051034.551,4409008937728.855,6340909671708.453
2019-01-01,5472519280925.326,4509455804901.444,6379035036833.206
2020-01-01,5591573150430.57,4641858104855.373,6533319749802.497
2021-01-01,5603925996312.805,4634873376439.852,6571750242601.391
2022-01-01,5676459556926.889,4726344828106.531,6639488614091.304
2023-01-01,5772266786817.667,4809232354083.488,6725029786537.6455
2024-01-01,5891320656322.363,4920324008592.475,6849631304632.881
2024-12-31,6033553740259.774,5071622459975.995,6969272904509.483
2025-12-31,6198858326041.125,5285681458793.412,7162286867875.169
2026-12-31,6387086589451.861,5416071383094.248,7265906679109.091
2027-12-31,6598050837803.966,5631820568587.386,7493985390473.478
2028-12-31,6333301246152.154,5381493399070.895,7316628325296.293
