ds,yhat,yhat_lower,yhat_upper
1960-01-01,-149995791561.65143,-410966832024.8819,113521590708.65608
1961-01-01,-174395845814.37036,-454466613626.8504,108355047752.69366
1962-01-01,-107315579957.34515,-368009462491.0911,175709228204.02618
1963-01-01,-52741294117.098145,-346265962545.47437,219639798380.30035
1964-01-01,-10699753676.310852,-290422051417.01044,259441587825.15326
1965-01-01,-35099807859.31952,-308130994418.0219,231586781290.48404
1966-01-01,31980458067.25049,-235296959550.34286,339508195247.0033
1967-01-01,86554743998.11487,-200488813063.28525,350895873070.3225
1968-01-01,128596284529.51886,-141637983641.5361,414781279020.00543
1969-01-01,104196230400.89117,-155746384866.446,370907670095.3039
1970-01-01,171276496381.67914,-100747023959.12506,441885832847.8197
1971-01-01,225850782344.05276,-48384860952.692444,515880024490.677
1972-01-01,267892322906.9749,-18404987395.877895,530139957247.93304
1973-01-01,243492314457.86456,-26380664370.9482,508864881943.6145
1974-01-01,310572625993.35675,50476078537.936806,583106734217.1774
1975-01-01,365168594015.73627,105270402334.65742,646584779332.525
1976-01-01,407231816638.6779,126865085395.5174,693664958973.4445
1977-01-01,382857883044.3771,128086464318.99886,654206801918.8154
1978-01-01,449964198191.9037,183010057163.88715,718482163772.0073
1979-01-01,504578970214.1372,228717617378.93887,786307988828.3126
1980-01-01,546660996836.92737,290037127239.2299,814564524043.2354
1981-01-01,522305681150.9097,273270299931.81036,787928637515.9902
1982-01-01,589430563338.0546,316690372579.82935,860718312419.8942
1983-01-01,644063228638.2417,373164660126.6595,916132683945.2604
1984-01-01,686163148538.9832,408924434328.1296,972803312515.2587
1985-01-01,696690678322.7152,421099973302.32996,946699036045.266
1986-01-01,798603097658.7163,529487690888.89795,1063811542053.0438
1987-01-01,888009536979.9185,625793772853.626,1147685821130.9604
1988-01-01,964900356750.1907,699286340249.3105,1238359903772.175
1989-01-01,975445059302.415,693803092067.8531,1250207478788.0583
1990-01-01,1077375865096.0911,819191756732.6354,1339062496587.733
1991-01-01,1166800690874.9922,879021270130.1003,1433680105037.7212
1992-01-01,1243693196604.4844,996922347428.5564,1512544563317.2188
1993-01-01,1254239589735.0532,991749395121.5413,1538666959688.5884
1994-01-01,1356174271890.5825,1072430034748.9683,1613102920142.9536
1995-01-01,1445602974031.3777,1173136582829.2107,1704175113871.562
1996-01-01,1522498930866.872,1261414682334.0134,1792675916493.069
1997-01-01,1533048784558.6323,1262594259936.6375,1807678486367.0708
1998-01-01,1634983466766.5955,1352804026535.6523,1885008577174.5237
1999-01-01,1724412168959.9622,1450978045301.9954,1991051526813.8694
2000-01-01,1801308125669.1328,1526105835180.7158,2066360743703.2
2001-01-01,1811857979234.3013,1541512576991.6907,2076262338367.8865
2002-01-01,1913792661255.5042,1661403076626.1401,2182319326223.0923
2003-01-01,2003221363262.046,1734676344882.181,2271498500970.575
2004-01-01,2080117319879.2373,1804420182989.539,2344438840363.131
2005-01-01,2090667173352.307,1819765302206.6033,2369499055983.805
2006-01-01,2192601560347.2783,1917697849623.8848,2477817067775.4814
2007-01-01,2282029967327.826,2002325590644.7815,2558688926078.096
2008-01-01,2358925011952.063,2103541268966.1792,2647345337597.9062
2009-01-01,2369473950933.3125,2077457699102.341,2634849009657.7134
2010-01-01,2471398508324.378,2201486460632.022,2744486292083.6978
2011-01-01,2560817085700.7104,2285645111447.5303,2800667890701.476
2012-01-01,2637702641547.889,2385296323483.8867,2896665267518.0254
2013-01-01,2648242065755.716,2391349227785.8857,2929716258575.5244
2014-01-01,2750166347017.025,2466581490021.195,3018248896703.831
2015-01-01,2839584648263.4575,2559923915804.295,3111503094971.091
2016-01-01,2916470204110.726,2657151000304.1094,3205112315309.1973
2017-01-01,2927009628318.2397,2641764016807.3545,3194017945726.616
2018-01-01,3028933909579.642,2745363232205.825,3281077972939.0425
2019-01-01,3118352210826.338,2827585908238.5405,3396451959591.543
2020-01-01,3195237766673.529,2913884555415.8535,3446597430666.176
2021-01-01,3205777190881.1626,2943642547352.902,3487231109812.8647
2022-01-01,3307701472142.6714,3050912782695.952,3556286944097.024
2023-01-01,3397119773389.216,3147376383133.192,3682465245327.773
2024-01-01,3474005329236.32,3220281300854.379,3743088311301.084
2024-12-31,3538353322106.4526,3277494009531.9204,3826845993776.77
2025-12-31,3590180886050.449,3310627023356.5186,3863608187082.857
2026-12-31,3629527073611.6763,3373240580674.273,3902713840382.5273
2027-12-31,3656452785789.695,3383918190774.6997,3917879819328.5522
2028-12-31,3817120884669.2363,3551403357589.336,4080556891366.22
