ds,yhat,yhat_lower,yhat_upper
1960-01-01,126065244919.20557,-610146168561.0759,883397830443.3503
1961-01-01,129401721589.53906,-574400635392.6261,859183679831.9407
1962-01-01,337509767323.2949,-433829192031.1889,1109204475642.3171
1963-01-01,491881705627.34814,-244427443527.85757,1239933985768.245
1964-01-01,592467139194.2976,-140944032376.24698,1299933671805.6711
1965-01-01,595803615066.3865,-139676582527.78345,1352040361769.8538
1966-01-01,803911660004.1431,76477874472.88339,1523651638437.0144
1967-01-01,958283600261.1399,216350812745.9321,1640436923947.8457
1968-01-01,1058869035781.013,300389392230.5602,1738022790230.3796
1969-01-01,1062205657502.4314,307052481162.31726,1880116300778.8892
1970-01-01,1270313847890.9316,559611871499.784,2090116804281.13
1971-01-01,1424794580002.4805,679771228232.4484,2167802946229.9988
1972-01-01,1525488807376.9375,811413339547.9366,2297671898126.583
1973-01-01,1529005582203.1465,799054417367.0964,2225882460319.4253
1974-01-01,1737293433474.7935,980811437832.929,2505041737638.9
1975-01-01,1917809200842.6294,1241710117099.7957,2634132156102.9224
1976-01-01,2044538463473.419,1261389340563.4795,2808214717965.5376
1977-01-01,2074480156168.1992,1339369098632.529,2790143886481.5254
1978-01-01,2309120726079.289,1522148124397.4258,2975378896536.2456
1979-01-01,2621368016175.614,1883989746040.2087,3372965582750.258
1980-01-01,2879828801534.855,2141174879515.4565,3602576169810.919
1981-01-01,3041704420154.4688,2270888067925.807,3804219333332.5654
1982-01-01,3407918440782.7344,2647332936444.7334,4177381351466.272
1983-01-01,3720544311058.4175,2974924570898.158,4443038168160.004
1984-01-01,3979383676596.939,3205722429420.4194,4694372682984.681
1985-01-01,4141915818531.034,3372193307557.422,4891398724629.915
1986-01-01,4508784568694.334,3730944133153.3486,5203176242617.63
1987-01-01,4821917215807.337,4098559024557.0796,5622185036475.672
1988-01-01,5193091664019.27,4479426334730.016,5920329891101.626
1989-01-01,5467758490709.077,4789401226636.031,6205244815410.779
1990-01-01,5946825705974.527,5166444899486.241,6718085549820.417
1991-01-01,6372156818189.629,5646027529483.398,7110386908481.004
1992-01-01,6744286150294.902,5985262994604.21,7512368494491.829
1993-01-01,7019910476998.269,6284632088922.796,7801398955587.807
1994-01-01,7499998554027.98,6732283195441.167,8257870220167.651
1995-01-01,7926350528007.455,7186742139708.072,8711371811919.484
1996-01-01,8299091596918.738,7574202661527.3955,9010787199425.219
1997-01-01,8575329336419.72,7866909435351.659,9283782521998.568
1998-01-01,9152150296545.846,8421739995634.469,9930875791304.531
1999-01-01,9675235153622.21,8916730702703.908,10423543732510.496
2000-01-01,10144812330286.225,9363037741897.521,10899323028981.594
2001-01-01,10518151481945.658,9690058633668.285,11226233237682.807
2002-01-01,11095381716044.578,10360644357580.258,11845844918805.73
2003-01-01,11618875847093.555,10837709279718.188,12398781229648.44
2004-01-01,12088583677000.965,11404302946981.727,12865541025345.566
2005-01-01,12462053839857.248,11696762245813.53,13200289626306.07
2006-01-01,13039284284247.648,12320436399630.506,13740714249404.8
2007-01-01,13562778625588.734,12825517035173.441,14277092865900.314
2008-01-01,14032486462849.533,13355717081425.771,14783237230176.314
2009-01-01,14405956633079.258,13634238882746.059,15125149812370.62
2010-01-01,14983278937581.309,14206949816692.002,15727379653642.807
2011-01-01,15506865139033.156,14750705616534.143,16247042588686.523
2012-01-01,16356420269948.14,15641241384934.426,17128605938019.516
2013-01-01,17110778411349.715,16362598942276.955,17869882430466.203
2014-01-01,18067856150051.73,17337076598868.113,18801872941832.77
2015-01-01,18971197785703.39,18196879093197.098,19738044798765.6
2016-01-01,19820752916618.586,19110692982017.68,20608031424712.38
2017-01-01,20575111058019.137,19824592827711.906,21331621453100.156
2018-01-01,21532188796721.574,20737548036722.695,22240893157185.105
2019-01-01,22435530432373.742,21626464923908.566,23171996243237.277
2020-01-01,23285085563288.836,22517182209927.82,24067031414386.18
2021-01-01,24039443704689.848,23326922285882.12,24801798677469.887
2022-01-01,24996521443392.46,24313554580064.527,25624439394633.39
2023-01-01,25899863079044.215,25137615973689.66,26611731700103.418
2024-01-01,26749418209959.51,26027690506155.53,27550586525437.434
2024-12-31,27545230325093.906,26814903069132.4,28257056504077.316
2025-12-31,28287436722320.336,27543586410966.2,29035992134872.113
2026-12-31,28976268268923.78,28236645151906.375,29750747113695.312
2027-12-31,29612049004725.08,28883386896107.383,30408024344895.582
2028-12-31,31009562971764.082,30249109215874.227,31790733688585.6
