country,date,GDP
United States,2024-01-01,29184890000000.0
United States,2023-01-01,27720709000000.0
United States,2022-01-01,26006893000000.0
United States,2021-01-01,23681171000000.0
United States,2020-01-01,21354105000000.0
United States,2019-01-01,21539982000000.0
United States,2018-01-01,20656516000000.0
United States,2017-01-01,19612102000000.0
United States,2016-01-01,18804913000000.0
United States,2015-01-01,18295019000000.0
United States,2014-01-01,17608138000000.0
United States,2013-01-01,16880683000000.0
United States,2012-01-01,16253970000000.0
United States,2011-01-01,15599732000000.0
United States,2010-01-01,15048971000000.0
United States,2009-01-01,14478067000000.0
United States,2008-01-01,14769862000000.0
United States,2007-01-01,14474228000000.0
United States,2006-01-01,13815583000000.0
United States,2005-01-01,13039197000000.0
United States,2004-01-01,12217196000000.0
United States,2003-01-01,11456450000000.0
United States,2002-01-01,10929108000000.0
United States,2001-01-01,10581929000000.0
United States,2000-01-01,10250952000000.0
United States,1999-01-01,9631172000000.0
United States,1998-01-01,9062817000000.0
United States,1997-01-01,8577552000000.0
United States,1996-01-01,8073122000000.0
United States,1995-01-01,7639749000000.0
United States,1994-01-01,7287236000000.0
United States,1993-01-01,6858559000000.0
United States,1992-01-01,6520327000000.0
United States,1991-01-01,6158129000000.0
United States,1990-01-01,5963144000000.0
United States,1989-01-01,5641580000000.0
United States,1988-01-01,5236438000000.0
United States,1987-01-01,4855215000000.0
United States,1986-01-01,4579631000000.0
United States,1985-01-01,4338979000000.0
United States,1984-01-01,4037613000000.0
United States,1983-01-01,3634038000000.0
United States,1982-01-01,3343789000000.0
United States,1981-01-01,3207041000000.0
United States,1980-01-01,2857307000000.0
United States,1979-01-01,2627333000000.0
United States,1978-01-01,2351599000000.0
United States,1977-01-01,2081826000000.0
United States,1976-01-01,1873412000000.0
United States,1975-01-01,1684904000000.0
United States,1974-01-01,1545243000000.0
United States,1973-01-01,1425376000000.0
United States,1972-01-01,1279110000000.0
United States,1971-01-01,1164850000000.0
United States,1970-01-01,1073303000000.0
United States,1969-01-01,1018471133696.76
United States,1968-01-01,941639100803.844
United States,1967-01-01,860737154023.838
United States,1966-01-01,814082043610.829
United States,1965-01-01,743503780837.106
United States,1964-01-01,685631590686.501
United States,1963-01-01,638380883119.283
United States,1962-01-01,604729643906.496
United States,1961-01-01,562640778342.419
United States,1960-01-01,542390475099.326
China,2024-01-01,18743803170827.2
China,2023-01-01,18270356654533.2
China,2022-01-01,18316765021690.2
China,2021-01-01,18201698719564.0
China,2020-01-01,14996414166715.1
China,2019-01-01,14560167101283.4
China,2018-01-01,14147765772963.8
China,2017-01-01,12537559062282.9
China,2016-01-01,11456024084962.0
China,2015-01-01,11280814787468.9
China,2014-01-01,10674533168257.4
China,2013-01-01,9743124247267.24
China,2012-01-01,8673664713189.24
China,2011-01-01,7671757207851.29
China,2010-01-01,6192564874453.29
China,2009-01-01,5189577094997.58
China,2008-01-01,4667346414521.95
China,2007-01-01,3604055822571.63
China,2006-01-01,2791498472804.33
China,2005-01-01,2317551298052.05
China,2004-01-01,1984196551300.44
China,2003-01-01,1683903309843.85
China,2002-01-01,1489821682050.54
China,2001-01-01,1355036590251.52
China,2000-01-01,1223754919971.05
China,1999-01-01,1103843203575.64
China,1998-01-01,1037134141760.35
China,1997-01-01,967753570434.667
China,1996-01-01,868523936530.083
China,1995-01-01,738190896227.55
China,1994-01-01,566929539493.172
China,1993-01-01,446557291212.148
China,1992-01-01,428502354788.069
China,1991-01-01,384510452961.672
China,1990-01-01,361560229445.507
China,1989-01-01,348380566801.619
China,1988-01-01,312888888888.889
China,1987-01-01,273455156950.673
China,1986-01-01,301310144927.536
China,1985-01-01,310064625850.34
China,1984-01-01,260442857142.857
China,1983-01-01,231130268199.234
China,1982-01-01,205480916030.534
China,1981-01-01,196218253968.254
China,1980-01-01,191487500000.0
China,1979-01-01,178573913043.478
China,1978-01-01,149788617886.179
China,1977-01-01,175226595859.778
China,1976-01-01,154196810058.643
China,1975-01-01,163687619735.857
China,1974-01-01,144418433058.472
China,1973-01-01,138764340892.0
China,1972-01-01,113871930713.841
China,1971-01-01,99959013879.6308
China,1970-01-01,92752930873.1912
China,1969-01-01,79847786729.1898
China,1968-01-01,70980323818.7853
China,1967-01-01,73011350596.2485
China,1966-01-01,76854053259.209
China,1965-01-01,70565994356.1828
China,1964-01-01,59821862703.4023
China,1963-01-01,50812227918.5753
China,1962-01-01,47310737754.2287
China,1961-01-01,50162299349.7871
China,1960-01-01,59846235024.7318
Japan,2024-01-01,4026210821146.81
Japan,2023-01-01,4213167237905.83
Japan,2022-01-01,4262463317796.53
Japan,2021-01-01,5039148168861.22
Japan,2020-01-01,5054068005376.28
Japan,2019-01-01,5117993853016.51
Japan,2018-01-01,5040880939324.86
Japan,2017-01-01,4930837369151.42
Japan,2016-01-01,5003677627544.24
Japan,2015-01-01,4444930651964.18
Japan,2014-01-01,4896994405353.29
Japan,2013-01-01,5212328181166.18
Japan,2012-01-01,6272362996105.03
Japan,2011-01-01,6233147172341.35
Japan,2010-01-01,5759071769013.11
Japan,2009-01-01,5289493117993.89
Japan,2008-01-01,5106679115127.3
Japan,2007-01-01,4579750920354.81
Japan,2006-01-01,4601663122649.92
Japan,2005-01-01,4831467035389.8
Japan,2004-01-01,4893116005656.56
Japan,2003-01-01,4519561645253.53
Japan,2002-01-01,4182846045873.61
Japan,2001-01-01,4374711694090.87
Japan,2000-01-01,4968359075956.59
Japan,1999-01-01,4635982224063.88
Japan,1998-01-01,4098362709531.24
Japan,1997-01-01,4492448605638.94
Japan,1996-01-01,4923391533851.63
Japan,1995-01-01,5545563663889.7
Japan,1994-01-01,4998797547740.97
Japan,1993-01-01,4536940479038.25
Japan,1992-01-01,3980702922117.66
Japan,1991-01-01,3648065760648.88
Japan,1990-01-01,3185904656663.85
Japan,1989-01-01,3109455047823.93
Japan,1988-01-01,3125724434400.79
Japan,1987-01-01,2580748422781.09
Japan,1986-01-01,2120083812109.91
Japan,1985-01-01,1427019759717.41
Japan,1984-01-01,1345824500836.76
Japan,1983-01-01,1270859919742.9
Japan,1982-01-01,1158731426905.85
Japan,1981-01-01,1245221410764.15
Japan,1980-01-01,1129377244854.04
Japan,1979-01-01,1077910077676.37
Japan,1978-01-01,1035611588216.59
Japan,1977-01-01,737069290927.712
Japan,1976-01-01,598883902155.605
Japan,1975-01-01,532861438884.724
Japan,1974-01-01,490035789970.299
Japan,1973-01-01,441460582535.921
Japan,1972-01-01,324933841268.585
Japan,1971-01-01,245364056622.363
Japan,1970-01-01,217223652719.444
Japan,1969-01-01,184298841304.667
Japan,1968-01-01,156897496759.128
Japan,1967-01-01,132475614226.519
Japan,1966-01-01,113046784179.289
Japan,1965-01-01,97338107605.8236
Japan,1964-01-01,87490590817.9803
Japan,1963-01-01,74379284603.3875
Japan,1962-01-01,64987857541.6256
Japan,1961-01-01,57266758179.5883
Japan,1960-01-01,47419238274.4619
Germany,2024-01-01,4659929336890.62
Germany,2023-01-01,4525703903627.53
Germany,2022-01-01,4163596357879.39
Germany,2021-01-01,4348297440387.53
Germany,2020-01-01,3940142541354.1
Germany,2019-01-01,3957208055215.68
Germany,2018-01-01,4052008447223.53
Germany,2017-01-01,3763092263752.95
Germany,2016-01-01,3537784107980.55
Germany,2015-01-01,3423568450957.03
Germany,2014-01-01,3965800686309.79
Germany,2013-01-01,3808086291482.36
Germany,2012-01-01,3597896500945.31
Germany,2011-01-01,3824828563521.41
Germany,2010-01-01,3468154343000.01
Germany,2009-01-01,3479800820863.28
Germany,2008-01-01,3808786022312.5
Germany,2007-01-01,3484056680854.91
Germany,2006-01-01,3046308753670.58
Germany,2005-01-01,2893393187361.87
Germany,2004-01-01,2852317768061.78
Germany,2003-01-01,2534715518349.01
Germany,2002-01-01,2102350798305.89
Germany,2001-01-01,1966381496641.73
Germany,2000-01-01,1966980701145.1
Germany,1999-01-01,2213873468586.88
Germany,1998-01-01,2247760364565.97
Germany,1997-01-01,2218790886532.82
Germany,1996-01-01,2506576553158.31
Germany,1995-01-01,2593053091306.13
Germany,1994-01-01,2215282632276.73
Germany,1993-01-01,2078954217437.6
Germany,1992-01-01,2141377582968.07
Germany,1991-01-01,1875792575132.59
Germany,1990-01-01,1778162195860.07
Germany,1989-01-01,1404092925205.45
Germany,1988-01-01,1406367016371.53
Germany,1987-01-01,1302932318824.81
Germany,1986-01-01,1050092624515.9
Germany,1985-01-01,735218723093.277
Germany,1984-01-01,727767760978.627
Germany,1983-01-01,773507930294.906
Germany,1982-01-01,779421633755.138
Germany,1981-01-01,803404797057.551
Germany,1980-01-01,953772499462.019
Germany,1979-01-01,884574218333.155
Germany,1978-01-01,743182891918.208
Germany,1977-01-01,602698323085.993
Germany,1976-01-01,521658712132.981
Germany,1975-01-01,492434094920.105
Germany,1974-01-01,446934971657.471
Germany,1973-01-01,399833571167.215
Germany,1972-01-01,300899944795.436
Germany,1971-01-01,250900942396.699
Germany,1970-01-01,216629229947.096
Germany,1969-01-01,177733486326.06
Germany,1968-01-01,156527292653.157
Germany,1967-01-01,145100667772.69
Germany,1966-01-01,143304275683.979
Germany,1965-01-01,134774688191.161
Germany,1964-01-01,123330404665.086
Germany,1963-01-01,112232503744.1
Germany,1962-01-01,105895435234.343
Germany,1961-01-01,96558204043.1028
Germany,1960-01-01,84619845881.2608
India,2024-01-01,3912686168582.21
India,2023-01-01,3638489096033.86
India,2022-01-01,3346107287730.93
India,2021-01-01,3167270623260.47
India,2020-01-01,2674851578587.27
India,2019-01-01,2835606256558.19
India,2018-01-01,2702929641648.74
India,2017-01-01,2651474262755.45
India,2016-01-01,2294796885663.16
India,2015-01-01,2103588360044.94
India,2014-01-01,2039126479154.52
India,2013-01-01,1856721507621.58
India,2012-01-01,1827637590410.41
India,2011-01-01,1823051829894.55
India,2010-01-01,1675615519484.96
India,2009-01-01,1341888016994.9
India,2008-01-01,1198895139005.92
India,2007-01-01,1216736438834.96
India,2006-01-01,940259888787.721
India,2005-01-01,820383763511.445
India,2004-01-01,709152728830.775
India,2003-01-01,607700687237.318
